TBLID,GEOID,GEONAME,ORDER,TITLE,ESTIMATE,MG_ERROR
B02011,05000US17099,"LaSalle County, Illinois",1,Total:,"1,294",+/-190
B02011,05000US17111,"McHenry County, Illinois",1,Total:,"10,915",+/-150
B02011,05000US17113,"McLean County, Illinois",1,Total:,"10,785",+/-521
B02011,05000US17115,"Macon County, Illinois",1,Total:,"1,579",+/-190
B02011,05000US17119,"Madison County, Illinois",1,Total:,"4,044",+/-313
B02011,05000US17143,"Peoria County, Illinois",1,Total:,"8,967",+/-807
B02011,05000US17161,"Rock Island County, Illinois",1,Total:,"4,692",+/-244
B02011,05000US17163,"St. Clair County, Illinois",1,Total:,"6,199",+/-397
B02011,05000US17167,"Sangamon County, Illinois",1,Total:,"5,063",+/-237
B02011,05000US17179,"Tazewell County, Illinois",1,Total:,"2,019",+/-553
B02011,05000US17183,"Vermilion County, Illinois",1,Total:,965,+/-102
B02011,05000US17197,"Will County, Illinois",1,Total:,"45,616",+/-698
B02011,05000US17199,"Williamson County, Illinois",1,Total:,"1,119",+/-190
B02011,05000US17201,"Winnebago County, Illinois",1,Total:,"9,799",+/-370
B02011,05000US18003,"Allen County, Indiana",1,Total:,"19,033","+/-1,130"
B02011,05000US18005,"Bartholomew County, Indiana",1,Total:,"7,360",+/-676
B02011,05000US18011,"Boone County, Indiana",1,Total:,"2,153",+/-477
B02011,05000US18019,"Clark County, Indiana",1,Total:,"1,705",+/-98
B02011,05000US18035,"Delaware County, Indiana",1,Total:,"2,328",+/-359
B02011,05000US18039,"Elkhart County, Indiana",1,Total:,"2,998",+/-93
B02011,05000US18043,"Floyd County, Indiana",1,Total:,"1,154",+/-198
B02011,05000US18053,"Grant County, Indiana",1,Total:,302,+/-270
B02011,05000US18057,"Hamilton County, Indiana",1,Total:,"24,161",+/-759
B02011,05000US18059,"Hancock County, Indiana",1,Total:,891,+/-139
B02011,05000US18063,"Hendricks County, Indiana",1,Total:,"6,227",+/-738
B02011,05000US18067,"Howard County, Indiana",1,Total:,"1,291",+/-198
B02011,05000US18081,"Johnson County, Indiana",1,Total:,"6,605",+/-521
B02011,05000US18085,"Kosciusko County, Indiana",1,Total:,"1,292",+/-422
B02011,05000US18089,"Lake County, Indiana",1,Total:,"9,696",+/-445
B02011,05000US18091,"LaPorte County, Indiana",1,Total:,280,+/-250
B02011,05000US18095,"Madison County, Indiana",1,Total:,772,+/-433
B02011,05000US18097,"Marion County, Indiana",1,Total:,"40,421","+/-1,175"
B02011,05000US18105,"Monroe County, Indiana",1,Total:,"12,076",+/-619
B02011,05000US18127,"Porter County, Indiana",1,Total:,"3,213",+/-302
B02011,05000US18141,"St. Joseph County, Indiana",1,Total:,"9,127",+/-540
B02011,05000US18157,"Tippecanoe County, Indiana",1,Total:,"18,157",+/-378
B02011,05000US18163,"Vanderburgh County, Indiana",1,Total:,"3,173",+/-189
B02011,05000US18167,"Vigo County, Indiana",1,Total:,"2,604",+/-50
B02011,05000US18177,"Wayne County, Indiana",1,Total:,697,+/-450
B02011,05000US19013,"Black Hawk County, Iowa",1,Total:,"4,267",+/-375
B02011,05000US19049,"Dallas County, Iowa",1,Total:,"5,086",+/-209
B02011,05000US19061,"Dubuque County, Iowa",1,Total:,"1,788",+/-243
B02011,05000US19103,"Johnson County, Iowa",1,Total:,"10,846","+/-1,252"
B02011,05000US19113,"Linn County, Iowa",1,Total:,"7,072",+/-163
B02011,05000US19153,"Polk County, Iowa",1,Total:,"27,816",+/-322
B02011,05000US19155,"Pottawattamie County, Iowa",1,Total:,"1,282",+/-211
B02011,05000US19163,"Scott County, Iowa",1,Total:,"6,364",+/-610
B02011,05000US19169,"Story County, Iowa",1,Total:,"9,224",+/-161
B02011,05000US19193,"Woodbury County, Iowa",1,Total:,"3,426",+/-163
B02011,05000US20015,"Butler County, Kansas",1,Total:,"1,352",+/-367
B02011,05000US20045,"Douglas County, Kansas",1,Total:,"7,493",+/-363
B02011,05000US20091,"Johnson County, Kansas",1,Total:,"35,970",+/-336
B02011,05000US20103,"Leavenworth County, Kansas",1,Total:,"1,957",+/-117
B02011,05000US20161,"Riley County, Kansas",1,Total:,"4,827",+/-420
B02011,05000US20173,"Sedgwick County, Kansas",1,Total:,"27,048",+/-694
B02011,05000US20177,"Shawnee County, Kansas",1,Total:,"4,072",+/-493
B02011,05000US20209,"Wyandotte County, Kansas",1,Total:,"9,014",+/-111
B02011,05000US21015,"Boone County, Kentucky",1,Total:,"4,107",+/-197
B02011,05000US21029,"Bullitt County, Kentucky",1,Total:,933,+/-744
B02011,05000US21037,"Campbell County, Kentucky",1,Total:,"1,212",+/-197
B02011,05000US21047,"Christian County, Kentucky",1,Total:,"1,690",+/-353
B02011,05000US21059,"Daviess County, Kentucky",1,Total:,"2,202",+/-250
B02011,05000US21067,"Fayette County, Kentucky",1,Total:,"15,804",+/-262
B02011,05000US21093,"Hardin County, Kentucky",1,Total:,"3,729",+/-337
B02011,05000US21111,"Jefferson County, Kentucky",1,Total:,"27,881","+/-1,030"
B02011,05000US21117,"Kenton County, Kentucky",1,Total:,"2,764",+/-197
B02011,05000US21145,"McCracken County, Kentucky",1,Total:,700,+/-536
B02011,05000US21151,"Madison County, Kentucky",1,Total:,"1,581",+/-242
B02011,05000US21185,"Oldham County, Kentucky",1,Total:,"1,608",+/-344
B02011,05000US21227,"Warren County, Kentucky",1,Total:,"6,380",+/-86
B02011,05000US22005,"Ascension Parish, Louisiana",1,Total:,"1,939",+/-217
B02011,05000US22015,"Bossier Parish, Louisiana",1,Total:,"3,398",+/-428
B02011,05000US22017,"Caddo Parish, Louisiana",1,Total:,"4,264",+/-469
B02011,05000US22019,"Calcasieu Parish, Louisiana",1,Total:,"3,353",+/-172
B02011,05000US22033,"East Baton Rouge Parish, Louisiana",1,Total:,"17,082",+/-988
B02011,05000US22045,"Iberia Parish, Louisiana",1,Total:,"2,360",+/-368
B02011,05000US22051,"Jefferson Parish, Louisiana",1,Total:,"21,769","+/-1,513"
B02011,05000US22055,"Lafayette Parish, Louisiana",1,Total:,"5,593",+/-364
B02011,05000US22057,"Lafourche Parish, Louisiana",1,Total:,"1,039",+/-69
B02011,05000US22063,"Livingston Parish, Louisiana",1,Total:,"1,211",+/-217
